BioSample	Experiment	MBases	MBytes	Run	SRA_Sample	Sample_Name	age	Assay_Type	AvgSpotLen	BioProject	Center_Name	Consent	DATASTORE_filetype	DATASTORE_provider	InsertSize	Instrument	LibraryLayout	LibrarySelection	LibrarySource	LoadDate	Organism	Platform	ReleaseDate	SRA_Study	cell_type	genotype
SAMN07221425	SRX2910344	15	12	SRR5674782	SRS2276927	GSM2664836	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221424	SRX2910345	20	16	SRR5674783	SRS2276925	GSM2664837	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221423	SRX2910346	15	12	SRR5674784	SRS2276926	GSM2664838	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221422	SRX2910347	29	23	SRR5674785	SRS2276928	GSM2664839	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221932	SRX2910348	25	20	SRR5674786	SRS2276929	GSM2664840	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221931	SRX2910349	24	20	SRR5674787	SRS2276930	GSM2664841	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221930	SRX2910350	15	12	SRR5674788	SRS2276931	GSM2664842	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221929	SRX2910351	23	18	SRR5674789	SRS2276932	GSM2664843	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221421	SRX2910352	24	20	SRR5674790	SRS2276934	GSM2664844	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221934	SRX2910353	22	18	SRR5674791	SRS2276936	GSM2664845	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221933	SRX2910354	23	18	SRR5674792	SRS2276935	GSM2664846	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221928	SRX2910355	21	17	SRR5674793	SRS2276933	GSM2664847	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221927	SRX2910356	16	12	SRR5674794	SRS2276937	GSM2664848	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221926	SRX2910357	25	20	SRR5674795	SRS2276938	GSM2664849	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221925	SRX2910358	25	20	SRR5674796	SRS2276939	GSM2664850	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221924	SRX2910359	26	21	SRR5674797	SRS2276941	GSM2664851	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221923	SRX2910360	26	21	SRR5674798	SRS2276940	GSM2664852	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221922	SRX2910361	22	17	SRR5674799	SRS2276943	GSM2664853	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221921	SRX2910362	17	14	SRR5674800	SRS2276945	GSM2664854	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221920	SRX2910363	20	16	SRR5674801	SRS2276944	GSM2664855	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221919	SRX2910364	21	17	SRR5674802	SRS2276947	GSM2664856	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221918	SRX2910365	21	17	SRR5674803	SRS2276948	GSM2664857	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221916	SRX2910366	18	15	SRR5674804	SRS2276946	GSM2664858	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221459	SRX2910367	25	20	SRR5674805	SRS2276949	GSM2664859	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221458	SRX2910368	15	12	SRR5674806	SRS2276951	GSM2664860	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221457	SRX2910369	24	19	SRR5674807	SRS2276950	GSM2664861	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221456	SRX2910370	24	19	SRR5674808	SRS2276952	GSM2664862	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221455	SRX2910371	25	20	SRR5674809	SRS2276955	GSM2664863	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221917	SRX2910372	23	18	SRR5674810	SRS2276954	GSM2664864	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221454	SRX2910373	19	16	SRR5674811	SRS2276953	GSM2664865	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221453	SRX2910374	22	18	SRR5674812	SRS2276956	GSM2664866	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221452	SRX2910375	22	18	SRR5674813	SRS2276957	GSM2664867	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221451	SRX2910376	26	21	SRR5674814	SRS2276959	GSM2664868	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221450	SRX2910377	22	18	SRR5674815	SRS2276958	GSM2664869	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221449	SRX2910378	19	15	SRR5674816	SRS2276961	GSM2664870	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221448	SRX2910379	22	18	SRR5674817	SRS2276960	GSM2664871	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221447	SRX2910380	21	17	SRR5674818	SRS2276963	GSM2664872	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221446	SRX2910381	23	18	SRR5674819	SRS2276964	GSM2664873	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221445	SRX2910382	24	19	SRR5674820	SRS2276962	GSM2664874	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221444	SRX2910383	23	18	SRR5674821	SRS2276966	GSM2664875	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221443	SRX2910384	24	19	SRR5674822	SRS2276965	GSM2664876	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221442	SRX2910385	23	18	SRR5674823	SRS2276968	GSM2664877	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221441	SRX2910386	9	8	SRR5674824	SRS2276967	GSM2664878	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221440	SRX2910387	24	19	SRR5674825	SRS2276969	GSM2664879	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221439	SRX2910388	21	17	SRR5674826	SRS2276970	GSM2664880	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221438	SRX2910389	25	20	SRR5674827	SRS2276972	GSM2664881	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221437	SRX2910390	5	5	SRR5674828	SRS2276971	GSM2664882	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221436	SRX2910391	23	19	SRR5674829	SRS2276974	GSM2664883	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221435	SRX2910392	17	14	SRR5674830	SRS2276973	GSM2664884	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221434	SRX2910393	16	13	SRR5674831	SRS2276975	GSM2664885	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221433	SRX2910394	22	17	SRR5674832	SRS2276976	GSM2664886	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221432	SRX2910395	20	16	SRR5674833	SRS2276977	GSM2664887	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221489	SRX2910396	22	18	SRR5674834	SRS2276978	GSM2664888	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221488	SRX2910397	21	17	SRR5674835	SRS2276979	GSM2664889	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221487	SRX2910398	26	21	SRR5674836	SRS2276980	GSM2664890	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221486	SRX2910399	16	13	SRR5674837	SRS2276982	GSM2664891	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221485	SRX2910400	23	19	SRR5674838	SRS2276981	GSM2664892	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221484	SRX2910401	22	18	SRR5674839	SRS2276983	GSM2664893	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221483	SRX2910402	10	9	SRR5674840	SRS2276985	GSM2664894	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221482	SRX2910403	12	10	SRR5674841	SRS2276984	GSM2664895	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221481	SRX2910404	16	13	SRR5674842	SRS2276986	GSM2664896	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221480	SRX2910405	25	20	SRR5674843	SRS2276994	GSM2664897	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221479	SRX2910406	23	19	SRR5674844	SRS2276987	GSM2664898	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221478	SRX2910407	15	13	SRR5674845	SRS2276990	GSM2664899	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221477	SRX2910408	28	23	SRR5674846	SRS2276988	GSM2664900	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221476	SRX2910409	20	16	SRR5674847	SRS2276991	GSM2664901	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221475	SRX2910410	19	16	SRR5674848	SRS2276989	GSM2664902	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221474	SRX2910411	26	21	SRR5674849	SRS2276992	GSM2664903	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221473	SRX2910412	18	15	SRR5674850	SRS2276993	GSM2664904	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221472	SRX2910413	27	22	SRR5674851	SRS2276995	GSM2664905	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221471	SRX2910414	9	8	SRR5674852	SRS2276996	GSM2664906	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221470	SRX2910415	25	21	SRR5674853	SRS2276997	GSM2664907	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221469	SRX2910416	12	10	SRR5674854	SRS2276998	GSM2664908	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221468	SRX2910417	19	15	SRR5674855	SRS2277001	GSM2664909	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221467	SRX2910418	25	20	SRR5674856	SRS2277000	GSM2664910	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
SAMN07221466	SRX2910419	29	23	SRR5674857	SRS2276999	GSM2664911	E12.5	RNA-Seq	43	PRJNA390143	GEO	public	sra	ncbi	0	Illumina HiSeq 2000	SINGLE	cDNA	TRANSCRIPTOMIC	2017-06-13	Mus musculus	ILLUMINA	2017-07-10	SRP109011	sympatho-adrenal anlage	Wnt1-Cre/R26Tomato
